,Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest_x,Open Interest_y,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts,Daily Returns,Cumulative Daily Returns,5 Day Returns,5 Day Rolling Average,10 Day Returns,10 Day Rolling Average
0,2006-06-13,600.5,603.0,593.5,595.75,,595.75,63742.0,134541.0,379960.0,68531.0,124789.0,101559.0,6484.0,964.0,37243.0,50601.0,25755.0,31928.0,21799.0,54259.0,320239.0,284651.0,59721.0,95309.0,,1.0,,,,
1,2006-06-20,584.5,586.75,582.0,585.25,,585.25,21613.0,93745.0,374060.0,75205.0,126499.0,104549.0,6967.0,585.0,34275.0,53156.0,26069.0,28041.0,21232.0,46689.0,315413.0,281197.0,58647.0,92863.0,-0.0176248426353,0.982375157365,,,,
2,2006-06-27,569.0,580.5,569.0,578.0,,578.0,20772.0,40964.0,351200.0,81537.0,109652.0,102040.0,7522.0,1103.0,31123.0,69349.0,23246.0,21809.0,17898.0,41555.0,302413.0,270325.0,48787.0,80875.0,-0.0123878684323,0.970205623164,,,,
3,2006-07-03,602.5,605.0,595.5,601.5,,601.5,19651.0,11666.0,331145.0,58929.0,107857.0,102262.0,6796.0,1422.0,33989.0,50089.0,18949.0,24669.0,20481.0,44009.0,284229.0,249603.0,46916.0,81542.0,0.0406574394464,1.00965169954,,,,
4,2006-07-11,606.0,613.0,602.5,607.0,,607.0,4377.0,3137.0,339653.0,60900.0,125781.0,103460.0,6066.0,1338.0,42301.0,46054.0,16121.0,22565.0,22742.0,44366.0,291051.0,262468.0,48602.0,77185.0,0.00914380714879,1.01888375997,,593.5,,
5,2006-07-18,590.75,593.0,586.0,589.0,,589.0,10947.0,47668.0,332154.0,65722.0,126321.0,102898.0,6620.0,1104.0,39753.0,41479.0,16615.0,20245.0,25835.0,37717.0,284054.0,255691.0,48100.0,76463.0,-0.0296540362438,0.98866974402,-0.0113302559799,592.15,,
6,2006-07-25,584.5,592.75,583.25,585.25,,585.25,14561.0,28238.0,329423.0,63964.0,118010.0,104989.0,7114.0,1157.0,41506.0,49660.0,17357.0,17455.0,27310.0,32575.0,279003.0,253183.0,50420.0,76240.0,-0.00636672325976,0.982375157365,0.0,592.15,,
7,2006-08-01,578.0,579.0,573.0,573.5,,573.5,16045.0,8928.0,342520.0,66209.0,107956.0,109607.0,7555.0,2564.0,43942.0,68352.0,20557.0,18060.0,29183.0,31321.0,292260.0,267488.0,50260.0,75032.0,-0.0200768902179,0.962652119178,-0.00778546712803,591.25,,
8,2006-08-08,564.0,564.0,555.0,557.5,,557.5,3838.0,2263.0,340431.0,65980.0,102628.0,107121.0,6730.0,2193.0,45943.0,76473.0,19462.0,19953.0,30663.0,27525.0,288177.0,265674.0,52254.0,74757.0,-0.0278988666085,0.935795216114,-0.0731504571904,582.45,,
9,2006-08-15,556.25,558.0,553.75,556.5,,556.5,6410.0,33881.0,343399.0,74397.0,104128.0,105176.0,7722.0,961.0,44729.0,79750.0,23668.0,18641.0,27946.0,26359.0,293931.0,270534.0,49468.0,72865.0,-0.00179372197309,0.934116659673,-0.0831960461285,572.35,,582.925
