,Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest_x,Open Interest_y,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts,Daily Returns,Cumulative Daily Returns,5 Day Returns,5 Day Rolling Average,10 Day Returns,10 Day Rolling Average
0,2006-06-13,25.29,25.35,24.94,24.97,,24.97,22674.0,74079.0,245689.0,37694.0,168970.0,60927.0,2102.0,2876.0,55102.0,14087.0,10902.0,24435.0,4528.0,23939.0,215875.0,227404.0,29814.0,18285.0,,1.0,,,,
1,2006-06-20,24.33,24.34,23.98,24.28,,24.28,20015.0,46802.0,237737.0,52531.0,156173.0,59223.0,1517.0,3460.0,40086.0,18818.0,12404.0,25598.0,6720.0,20266.0,213568.0,219358.0,24169.0,18379.0,-0.0276331597917,0.972366840208,,,,
2,2006-06-27,24.48,25.17,24.4,25.14,,25.14,11880.0,17308.0,228705.0,50808.0,157355.0,60183.0,456.0,2264.0,40330.0,13805.0,10261.0,19299.0,5219.0,20405.0,203550.0,209765.0,25155.0,18940.0,0.0354200988468,1.0068081698,,,,
3,2006-07-03,26.34,26.44,26.05,26.17,,26.17,3757.0,5085.0,245547.0,47017.0,175097.0,60598.0,556.0,2320.0,53582.0,12233.0,10462.0,20053.0,4650.0,24805.0,218837.0,230123.0,26710.0,15424.0,0.0409705648369,1.0480576692,,,,
4,2006-07-11,27.6,27.66,27.32,27.32,,27.32,882.0,828.0,275591.0,43905.0,198397.0,63834.0,556.0,2715.0,76984.0,12348.0,10536.0,18896.0,6246.0,29441.0,246311.0,260239.0,29280.0,15352.0,0.0439434466947,1.09411293552,,25.576,,
5,2006-07-18,26.93,26.98,26.3,26.35,,26.35,8030.0,25577.0,287418.0,58989.0,214920.0,64037.0,446.0,2735.0,79422.0,12856.0,10943.0,19632.0,5436.0,25021.0,260779.0,272357.0,26639.0,15061.0,-0.035505124451,1.05526631958,0.0552663195835,25.852,,
6,2006-07-25,26.3,26.58,26.0,26.28,,26.28,5996.0,16368.0,283028.0,62863.0,212400.0,63644.0,606.0,2736.0,72906.0,11636.0,9524.0,17869.0,4720.0,23904.0,253446.0,265526.0,29582.0,17502.0,-0.00265654648956,1.05246295555,0.0823723228995,26.252,,
7,2006-08-01,26.72,26.72,26.46,26.53,,26.53,3488.0,5088.0,284759.0,60713.0,210251.0,63226.0,656.0,2494.0,68945.0,9048.0,11239.0,16714.0,4071.0,28026.0,251357.0,265785.0,33402.0,18974.0,0.00951293759513,1.06247496996,0.0552903739061,26.53,,
8,2006-08-08,26.52,26.52,25.95,26.04,,26.04,770.0,1757.0,276631.0,56543.0,204138.0,63031.0,856.0,2538.0,68456.0,6717.0,11364.0,15019.0,4408.0,28048.0,244999.0,258069.0,31632.0,18562.0,-0.0184696569921,1.04285142171,-0.00496752006114,26.504,,
9,2006-08-15,25.15,25.46,25.07,25.38,,25.38,4136.0,19865.0,263369.0,63873.0,184466.0,62418.0,450.0,2542.0,49962.0,11237.0,12648.0,16618.0,3453.0,27952.0,236013.0,242748.0,27356.0,20621.0,-0.0253456221198,1.01641970364,-0.0710102489019,26.116,,25.846
10,2006-08-22,25.17,25.51,25.16,25.48,,25.48,4997.0,15139.0,262325.0,63537.0,176694.0,62700.0,0.0,2494.0,45778.0,13816.0,14037.0,20352.0,4287.0,30707.0,239605.0,242035.0,22720.0,20290.0,0.00394011032309,1.02042450941,-0.0330170777989,25.942,0.0204245094113,25.897
11,2006-08-29,24.56,24.56,24.36,24.43,,24.43,8212.0,9709.0,262623.0,66641.0,166105.0,64204.0,932.0,2493.0,39975.0,23944.0,15244.0,23769.0,7286.0,26480.0,238806.0,242484.0,23817.0,20139.0,-0.0412087912088,0.978374048859,-0.070395738204,25.572,0.00617792421746,25.912
12,2006-09-05,24.78,24.8,24.5,24.54,,24.54,3623.0,2492.0,254328.0,61547.0,159683.0,66056.0,1425.0,2493.0,38249.0,25250.0,16085.0,24352.0,7919.0,21613.0,230395.0,234468.0,23933.0,19860.0,0.00450266066312,0.982779335202,-0.0750094232944,25.174,-0.0238663484487,25.852
13,2006-09-12,24.25,24.28,24.21,24.21,,24.21,926.0,584.0,259131.0,62843.0,150856.0,67962.0,3062.0,2493.0,33738.0,33457.0,16309.0,25460.0,6878.0,26356.0,235161.0,239411.0,23970.0,19720.0,-0.0134474327628,0.969563476171,-0.0702764976959,24.808,-0.0748949178449,25.656
14,2006-09-19,24.57,24.67,24.18,24.23,,24.23,5042.0,21958.0,264603.0,61614.0,148552.0,68762.0,3359.0,2494.0,34087.0,38449.0,15731.0,29454.0,6998.0,28907.0,241049.0,244490.0,23554.0,20113.0,0.000826104915324,0.970364437325,-0.0453112687155,24.578,-0.113103953148,25.347
15,2006-09-26,23.85,23.95,23.76,23.76,,23.76,5630.0,15244.0,258736.0,71266.0,137217.0,65540.0,4222.0,2826.0,27975.0,39868.0,13303.0,25900.0,8511.0,26884.0,233694.0,232831.0,25042.0,25905.0,-0.0193974411886,0.95154185022,-0.0675039246468,24.234,-0.0982922201139,25.088
16,2006-10-03,23.52,23.52,23.28,23.28,,23.28,1723.0,4816.0,254395.0,68553.0,130538.0,66772.0,5002.0,2742.0,26566.0,44951.0,14541.0,24520.0,8112.0,25078.0,228772.0,230964.0,25623.0,23431.0,-0.020202020202,0.932318782539,-0.047073270569,24.004,-0.114155251142,24.788
17,2006-10-10,24.72,24.76,24.23,24.26,,24.26,231.0,798.0,253913.0,74587.0,141417.0,64838.0,5127.0,1423.0,24870.0,39463.0,14417.0,25618.0,6516.0,23593.0,229346.0,231956.0,24567.0,21957.0,0.0420962199313,0.971565879055,-0.0114099429503,23.948,-0.0855635130041,24.561
18,2006-10-17,24.93,25.72,24.86,25.68,,25.68,30341.0,93710.0,259780.0,75967.0,159232.0,62909.0,4875.0,170.0,27308.0,28188.0,16902.0,27029.0,6064.0,22756.0,233041.0,238187.0,26739.0,21593.0,0.0585325638912,1.02843412095,0.0607187112763,24.242,-0.0138248847926,24.525
19,2006-10-24,26.56,26.8,26.5,26.64,,26.64,19336.0,73603.0,253243.0,59983.0,174386.0,60018.0,2444.0,3316.0,30538.0,8461.0,14954.0,28997.0,6920.0,24179.0,221985.0,234660.0,31258.0,18583.0,0.0373831775701,1.06688025631,0.099463475031,24.724,0.0496453900709,24.651
20,2006-10-31,27.38,27.39,26.67,26.83,,26.83,26620.0,67826.0,261414.0,61866.0,183494.0,60741.0,1765.0,4145.0,39590.0,11248.0,12423.0,25696.0,4566.0,22884.0,227345.0,240525.0,34069.0,20889.0,0.00713213213213,1.07448938726,0.129208754209,25.338,0.0529827315542,24.786
21,2006-11-07,27.55,27.89,27.31,27.67,,27.67,11182.0,61520.0,267084.0,49701.0,188241.0,65804.0,3181.0,4302.0,48934.0,10108.0,12874.0,24544.0,2530.0,24918.0,231077.0,246154.0,36007.0,20930.0,0.0313082370481,1.10812975571,0.188573883162,26.216,0.132623823168,25.11
22,2006-11-14,27.86,28.7,27.81,28.66,,28.66,17025.0,49053.0,280304.0,49099.0,201003.0,65893.0,4941.0,5097.0,61375.0,7221.0,13873.0,24237.0,3585.0,24074.0,243648.0,259794.0,36656.0,20510.0,0.0357788218287,1.1477773328,0.181368507832,27.096,0.167889160554,25.522
23,2006-11-21,28.65,28.98,28.65,28.88,,28.88,11841.0,29164.0,286622.0,50888.0,209460.0,71835.0,1276.0,3429.0,61544.0,6882.0,15107.0,22199.0,2544.0,29068.0,254070.0,267766.0,32552.0,18856.0,0.00767620376832,1.15658790549,0.1246105919,27.736,0.192895497728,25.989
24,2006-11-28,29.05,29.15,28.56,28.76,,28.76,10498.0,16587.0,292317.0,54871.0,211259.0,72239.0,1186.0,2659.0,59708.0,6645.0,15088.0,18907.0,2358.0,32966.0,256438.0,272161.0,35879.0,20156.0,-0.00415512465374,1.15178213857,0.0795795795796,28.16,0.186958316137,26.442
25,2006-12-05,28.8,28.92,28.6,28.92,,28.92,4994.0,4182.0,283039.0,52479.0,203033.0,71299.0,1532.0,3644.0,61762.0,9057.0,16056.0,16529.0,3876.0,27933.0,249702.0,265131.0,33337.0,17908.0,0.00556328233658,1.15818982779,0.0778978755125,28.578,0.217171717172,26.958
26,2006-12-12,28.68,28.85,28.31,28.37,,28.37,379.0,714.0,278005.0,50507.0,198280.0,70317.0,1315.0,5910.0,60107.0,10144.0,15668.0,18222.0,2852.0,26226.0,246957.0,260395.0,31048.0,17610.0,-0.0190179806362,1.13616339608,0.0252981568486,28.718,0.218642611684,27.467
27,2006-12-19,27.71,28.06,27.56,28.0,,28.0,7004.0,34688.0,273238.0,56769.0,188934.0,68577.0,1053.0,6065.0,52973.0,9855.0,16492.0,14574.0,3505.0,24043.0,239493.0,249947.0,33745.0,23291.0,-0.0130419457173,1.12134561474,-0.023028611305,28.586,0.154163231657,27.841
28,2006-12-26,28.75,29.38,28.75,28.86,,28.86,1451.0,18701.0,265040.0,56409.0,187758.0,67321.0,912.0,5852.0,49807.0,9282.0,14544.0,15984.0,2598.0,23119.0,233036.0,244065.0,32004.0,20975.0,0.0307142857143,1.15578694433,-0.000692520775623,28.582,0.123831775701,28.159
29,2007-01-03,29.24,29.24,28.62,28.65,,28.65,2455.0,3920.0,260181.0,50579.0,181286.0,68067.0,573.0,5860.0,53639.0,10976.0,14202.0,14712.0,3377.0,21946.0,229005.0,238220.0,31176.0,21961.0,-0.00727650727651,1.14737685222,-0.0038247566064,28.56,0.0754504504505,28.36
30,2007-01-09,27.97,27.97,27.75,27.85,,27.85,593.0,1704.0,255496.0,51383.0,175821.0,68117.0,550.0,5980.0,50886.0,13777.0,13254.0,15168.0,2995.0,21281.0,226069.0,233658.0,29427.0,21838.0,-0.0279232111693,1.11533840609,-0.0369986168741,28.346,0.038017144987,28.462
31,2007-01-16,29.25,29.34,28.74,28.79,,28.79,10699.0,131615.0,252375.0,50113.0,171720.0,65498.0,551.0,5843.0,48792.0,10192.0,13294.0,14169.0,4221.0,24296.0,222005.0,230117.0,30370.0,22258.0,0.0337522441652,1.1529835803,0.0148043708142,28.43,0.0404770509577,28.574
32,2007-01-23,29.3,29.98,29.29,29.93,,29.93,9072.0,136826.0,260832.0,43085.0,181611.0,67957.0,895.0,5374.0,59118.0,5871.0,14857.0,10989.0,5502.0,27171.0,228551.0,241281.0,32281.0,19551.0,0.0395970823203,1.19863836604,0.0689285714286,28.816,0.0443126308444,28.701
33,2007-01-30,28.82,29.47,28.69,29.46,,29.46,10484.0,129749.0,259792.0,41893.0,183347.0,66434.0,1158.0,6363.0,57695.0,3678.0,16156.0,12342.0,3647.0,27202.0,228085.0,241551.0,31707.0,18241.0,-0.015703307718,1.17981577893,0.02079002079,28.936,0.0200831024931,28.759
34,2007-02-06,30.62,30.73,30.36,30.37,,30.37,10267.0,125251.0,275698.0,38124.0,195212.0,72625.0,1249.0,5305.0,72553.0,8706.0,13768.0,12628.0,6931.0,28659.0,243662.0,259830.0,32036.0,15868.0,0.03088934148,1.21625951141,0.060034904014,29.28,0.0559805285118,28.92
35,2007-02-13,29.9,30.14,29.84,30.01,,30.01,13991.0,81831.0,287239.0,45271.0,202231.0,74899.0,1048.0,6998.0,72032.0,7693.0,15314.0,10525.0,8897.0,28118.0,253157.0,270299.0,34082.0,16940.0,-0.0118538030952,1.20184221065,0.0775583482944,29.712,0.0376901798064,29.029
36,2007-02-20,29.92,30.11,29.62,29.69,,29.69,11580.0,40399.0,286036.0,40312.0,198922.0,75074.0,1147.0,5922.0,69491.0,5495.0,15508.0,10188.0,7857.0,32249.0,248744.0,267100.0,37292.0,18936.0,-0.0106631122959,1.1890268322,0.0312608544634,29.892,0.046528022559,29.161
